"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","UserLanguage","Consent","dem_state","Pre_state_conf_1","Pre_national_conf_1","cov_trust_federal_1","cov_trust_state_1","cov_2016_accu","cov_2020_accu","dem_birthyear","dem_gender","dem_gender_6_TEXT","dem_child","bipart_intro_time_First.Click","bipart_intro_time_Last.Click","bipart_intro_time_Page.Submit","bipart_intro_time_Click.Count","bipartisan_time_First.Click","bipartisan_time_Last.Click","bipartisan_time_Page.Submit","bipartisan_time_Click.Count","RL_perc_intro_time_First.Click","RL_perc_intro_time_Last.Click","RL_perc_intro_time_Page.Submit","RL_perc_intro_time_Click.Count","RL_perc_time_First.Click","RL_perc_time_Last.Click","RL_perc_time_Page.Submit","RL_perc_time_Click.Count","Handcount_intro_time_First.Click","Handcount_intro_time_Last.Click","Handcount_intro_time_Page.Submit","Handcount_intro_time_Click.Count","Handcount_time_First.Click","Handcount_time_Last.Click","Handcount_time_Page.Submit","Handcount_time_Click.Count","Loser_intro_time_First.Click","Loser_intro_time_Last.Click","Loser_intro_time_Page.Submit","Loser_intro_time_Click.Count","Loser_time_First.Click","Loser_time_Last.Click","Loser_time_Page.Submit","Loser_time_Click.Count","Soup_intro_time_First.Click","Soup_intro_time_Last.Click","Soup_intro_time_Page.Submit","Soup_intro_time_Click.Count","Soup_time_First.Click","Soup_time_Last.Click","Soup_time_Page.Submit","Soup_time_Click.Count","Local_intro_time_First.Click","Local_intro_time_Last.Click","Local_intro_time_Page.Submit","Local_intro_time_Click.Count","Local_time_First.Click","Local_time_Last.Click","Local_time_Page.Submit","Local_time_Click.Count","control_time_First.Click","control_time_Last.Click","control_time_Page.Submit","control_time_Click.Count","Post_state_conf_1","Post_national_conf_1","SecEffect_1","attentioncheck","cov_voting_impt_1","cov_vote_2020","cov_vote_who_2020","cov_vote_who_2020_5_TEXT","dem_edu","dem_party","dem_party_4_TEXT","dem_libcon","dem_race","dem_race_6_TEXT","dem_income","comments","rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","Treatment_group"
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Recorded Date","Response ID","Location Latitude","Location Longitude","User Language","You are invited to participate in a research study on the election system. You will be asked a series of questions. Your participation will take approximately 10 minutes. We don?€?t anticipate any risks associated with your participation in this study. Your participation is voluntary and you have the right to refuse to participate, skip or refuse to answer any particular questions, or stop at any time. 


If you agree to participate in this research and confirm you are 18 years or older, a United States citizen, and currently reside in the United States, please click the ?€?YES?€? button.","What is your state of residency?","Given what you know about the election processes, how confident are you that votes in your state will be counted accurately in the upcoming 2024 presidential election? - Confidence level (1 - 10)","Given what you know about the election processes, how confident are you that votes across all states will be counted accurately in the upcoming 2024 presidential election? - Confidence level (1 - 10)","In general, how much do you trust the federal government? - Trust level (1-5)","In general, how much do you trust your state government? - Trust level (1-5)","Do you think that ballots in the 2016 presidential election between Donald Trump and Hillary Clinton were counted accurately?","Do you think that ballots in the 2020 presidential election between Donald Trump and Joseph Biden were counted accurately?","In what year were you born?","What is your gender? - Selected Choice","What is your gender? - Other - Text","Do you have any children?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Given what you know about the election processes, how confident are you that votes in your state will be counted accurately in the upcoming 2024 presidential election? - Confidence level (1-10)","Given what you know about the election processes, how confident would you be that votes across all states would be counted accurately in the upcoming 2024 presidential election? - Confidence level (1-10)","To what extent did receiving the information on election processes change your trust in your State's ability to count ballots? - Change (1-5)","We would like to get a sense of your general preferences.
Most modern theories of decision making recognize that decisions do not take place in a vacuum. Individual preferences and knowledge, along with situational variables can greatly impact the decision process. To demonstrate that you've read this much, just go ahead and select both red and green among the alternatives below, no matter what your favorite color is. Yes, ignore the question below and select both of these options.
What is your favorite color?","How much do you agree/disagree with the following statement?: ?€?Voting is important to the democratic process.?€? - Agree-Disagree (1-5)","Did you vote in the 2020 US Presidential Election?","Who did you vote for in the 2020 US Presidential Election? - Selected Choice","Who did you vote for in the 2020 US Presidential Election? - Other - Text","Now we would like to ask you a few more questions about yourself.
What is the highest level of education you have completed?","Generally speaking, do you consider yourself a... - Selected Choice","Generally speaking, do you consider yourself a... - Other Party - Text","Generally speaking, do you usually think of yourself as a liberal, a conservative, a moderate, or haven't you thought much about this?","What racial or ethnic group(s) best describe(s) you? Choose all that apply: - Selected Choice","What racial or ethnic group(s) best describe(s) you? Choose all that apply: - Other - Text","Thinking back over the past year, what was your family's annual income?","Thank you for your participation in the survey. Do you have any comments or questions for us?","rid (Lucid)","age (Lucid)","gender (Lucid)","household income (Lucid)","ethnicity (Lucid)","hispanic (Lucid)","education (Lucid)","political_party (Lucid)","region (Lucid)","zip (Lucid)","Treatment message assignment"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID56""}","{""ImportId"":""QID9""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID10""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID87_FIRST_CLICK""}","{""ImportId"":""QID87_LAST_CLICK""}","{""ImportId"":""QID87_PAGE_SUBMIT""}","{""ImportId"":""QID87_CLICK_COUNT""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID72_FIRST_CLICK""}","{""ImportId"":""QID72_LAST_CLICK""}","{""ImportId"":""QID72_PAGE_SUBMIT""}","{""ImportId"":""QID72_CLICK_COUNT""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID62""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID118""}","{""ImportId"":""QID118_5_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""rid""}","{""ImportId"":""age""}","{""ImportId"":""gender""}","{""ImportId"":""hhi""}","{""ImportId"":""ethnicity""}","{""ImportId"":""hispanic""}","{""ImportId"":""education""}","{""ImportId"":""political_party""}","{""ImportId"":""region""}","{""ImportId"":""zip""}","{""ImportId"":""FL_33_DO""}"
"5/4/2021 3:51","5/4/2021 3:51","IP Address","73.82.125.7","100","41","5/4/2021 3:51","R_6uoc92x7UpOTZbb","33.69259644","-84.25090027","EN","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60911917-f813-a4e9-a61d-ceffc53ea1ae","26","2","1","15","1","2","1","3","30034",""
"5/4/2021 3:53","5/4/2021 3:54","IP Address","73.77.56.103","100","103","5/4/2021 3:54","R_3pGBwuySM1ZipVv","29.40849304","-95.24990082","EN","YES","Texas","8","8","4","4","Yes","No","1990","Male","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.594","10.914","11.45","4","1.041","29.339","30.175","3","","","","","7","9","2","Black,Red","","","","","","","","","","","","","60911991-e0f8-1934-b4f2-6433b7620e49","27","1","3","1","1","6","2","3","77546","Local"
"5/4/2021 3:55","5/4/2021 3:56","IP Address","71.68.115.255","100","66","5/4/2021 3:56","R_116Y6oYAvrJ9Bf0","35.19360352","-80.68650055","EN","YES","North Carolina","10","10","5","5","Yes","Yes","1993","Female","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.799","6.416","7.794","5","0.515","1.694","11.245","2","","","","","","","","","","","","","10","10","5","Blue","","","","","","","","","","","","","609119ad-eb14-ee3b-5394-280bb724baf5","28","2","1","4","1","1","1","3","28227","Soup"
"5/4/2021 3:58","5/4/2021 3:58","IP Address","173.171.224.150","100","10","5/4/2021 3:58","R_pRHtOWO9ZixTnhv","27.86720276","-82.35030365","EN","NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60911abb-a53e-0590-de22-d09067ab849d","41","2","7","1","1","4","1","3","33511",""
"5/4/2021 3:58","5/4/2021 3:58","IP Address","45.80.96.69","100","11","5/4/2021 3:58","R_3oLtOx7h7MMSCty","39.0480957","-77.47280121","EN","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60911abd-08d4-a650-d0cf-21d17577ee4e","34","2","12","1","1","8","4","1","1550",""
"5/4/2021 3:57","5/4/2021 4:00","IP Address","97.90.159.201","100","155","5/4/2021 4:00","R_3ekxgPpw6EqFV8w","33.78399658","-118.1853943","EN","YES","California","10","10","5","5","Yes","Yes","1963","Male","","No","","","","","","","","","8.163","8.163","11.566","1","0","0","19.085","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","5","Red,Green","5","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Strong Liberal","Black or African American (non-Hispanic)","","$10,000-$19,999","None","60911a83-80f5-9d70-00d8-f3b12524cdd9","57","1","2","2","1","5","1","4","90804","RL_percentage"
"5/4/2021 3:58","5/4/2021 4:00","IP Address","69.206.51.177","100","120","5/4/2021 4:00","R_SIw678HXQRbPWY9","41.96980286","-74.06770325","EN","YES","New York","8","7","3","3","Yes","Yes","1956","Female","","No","","","","","","","","","","","","","","","","","6.824","20.875","21.852","5","5.234","5.234","12.3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","4","Blue","","","","","","","","","","","","","60911ab5-b84b-e60b-1579-d5fd2755508c","65","2","17","1","1","5","4","1","12443","Handcount"
"5/4/2021 3:58","5/4/2021 4:00","IP Address","173.170.170.167","100","168","5/4/2021 4:00","R_2fAJn92PoSObXik","27.98219299","-81.67060089","EN","YES","Florida","1","1","1","4","Yes","No","1968","Female","","No","3.517","15.273","16.422","6","3.064","9.948","11","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3","3","Red,Green","5","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$75,000-$99,999","No","60911aa8-a5a9-9a0c-f94f-708ea64ec6fb","52","2","12","1","1","3","10","3","33884","Bipartisan"
